1024	230
2048	448
4096	841
8192	1105
16384	1929
32768	2342
65536	3677
131072	5038
262144	5909
524288	6293
1048576	5996
2097152	5935
4194304	5990
8388608	5987
16777216	6058
33554432	6039
67108864	6027
