1024						56
2048						113
4096						224
8192						446
16384						887
32768						426
65536						850
131072						1877
262144						3933
524288						6116
1048576						6049
2097152						5997
4194304						5980
8388608						5872
16777216						5775
33554432						5902
67108864						5852
