1024			56
2048			112
4096			222
8192			372
16384			712
32768			413
65536			797
131072			1589
262144			2289
524288			3047
1048576			3667
2097152			4098
4194304			4078
8388608			4218
16777216			4246
33554432			4213
67108864			4208
