1024		47
2048		91
4096		170
8192		171
16384		302
32768		283
65536		533
131072		947
262144		1403
524288		2071
1048576		2680
2097152		2956
4194304		3214
8388608		3313
16777216		3398
33554432		3406
67108864		3382
