1024							405
2048							760
4096							1320
8192							1819
16384							3816
32768							4978
65536							8237
131072							12160
262144							16116
524288							17043
1048576							13725
2097152							12713
4194304							12976
8388608							13071
16777216							13597
33554432							13737
67108864							13730
