1024					53
2048					105
4096					206
8192					254
16384					503
32768					433
65536					868
131072					1977
262144					4087
524288					7843
1048576					8002
2097152					6985
4194304					6914
8388608					6910
16777216					6659
33554432					6646
67108864					6647
